timestamp,symbol,feature_vector,prediction_probability,actual_outcome,correct
2024-04-25 08:00:00+00:00,UTKUSDT,0.631944;0.222222;0.746528;0.354167;0.079861;0.500000;0.371528;0.262153;0.940972;0.126736;0.435764;0.791667;0.458333;0.479167;0.826389;0.590278;0.659722;0.579861;0.243056;0.524306;0.604167;0.475694;0.107639;0.493056;0.881944;0.378472;0.347222,0.626903,0,0
2024-04-25 08:00:00+00:00,ZRXUSDT,0.763889;0.680556;0.420139;0.284722;0.652778;0.531250;0.774306;0.225694;0.668403;0.881944;0.435764;0.357639;0.406250;0.413194;0.343750;0.690972;0.833333;0.836806;0.527778;0.305556;0.352431;0.562500;0.701389;0.104167;0.670139;0.288194;0.569444,0.605,0,0
2024-04-25 08:00:00+00:00,ICXUSDT,0.645833;0.170139;0.295139;0.305556;0.739583;0.152778;0.840278;0.916667;0.284722;0.126736;0.435764;0.243056;0.180556;0.392361;0.190972;0.340278;0.315972;0.256944;0.361111;0.375000;0.748264;0.756944;0.118056;0.340278;0.461806;0.100694;0.413194,0.618709,0,0
2024-04-25 08:00:00+00:00,CELRUSDT,0.225694;0.333333;0.239583;0.170139;0.447917;0.635417;0.729167;0.916667;0.284722;0.126736;0.435764;0.503472;0.503472;0.555556;0.458333;0.197917;0.274306;0.347222;0.322917;0.131944;0.855903;0.881944;0.593750;0.399306;0.149306;0.336806;0.204861,0.620933,0,0
2024-04-25 08:00:00+00:00,RAREUSDT,0.368056;0.677083;0.465278;0.434028;0.524306;0.284722;0.392361;0.399306;0.857639;0.126736;0.435764;0.454861;0.229167;0.107639;0.795139;0.586806;0.541667;0.649306;0.513889;0.392361;0.604167;0.376736;0.694444;0.586806;0.715278;0.725694;0.409722,0.638047,0,0
2024-04-25 08:00:00+00:00,PYTHUSDT,0.232639;0.454861;0.590278;0.190972;0.833333;0.625000;0.944444;0.916667;0.284722;0.126736;0.435764;0.388889;0.350694;0.395833;0.388889;0.368056;0.190972;0.211806;0.545139;0.399306;0.855903;0.289931;0.378472;0.458333;0.420139;0.180556;0.315972,0.611983,0,0
2024-04-25 08:00:00+00:00,ARBUSDT,0.340278;0.281250;0.097222;0.402778;0.614583;0.454861;0.493056;0.916667;0.284722;0.126736;0.435764;0.270833;0.413194;0.250000;0.329861;0.145833;0.239583;0.361111;0.218750;0.298611;0.855903;0.756944;0.756944;0.177083;0.583333;0.090278;0.190972,0.623205,0,0
2024-04-25 08:00:00+00:00,ENJUSDT,0.486111;0.822917;0.586806;0.618056;0.336806;0.458333;0.215278;0.586806;0.697917;0.421875;0.435764;0.430556;0.402778;0.461806;0.402778;0.777778;0.760417;0.666667;0.781250;0.649306;0.934028;0.881944;0.802083;0.437500;0.493056;0.222222;0.423611,0.605608,0,0
2024-04-25 08:00:00+00:00,TKOUSDT,0.229167;0.121528;0.250000;0.208333;0.329861;0.680556;0.517361;0.916667;0.284722;0.126736;0.435764;0.864583;0.527778;0.527778;0.895833;0.149306;0.152778;0.152778;0.121528;0.284722;0.156250;0.125000;0.079861;0.263889;0.163194;0.319444;0.593750,0.608794,0,0
2024-04-25 08:00:00+00:00,USDPUSDT,0.907986;0.052083;0.611111;0.947917;0.003472;0.465278;0.024306;0.029514;0.996528;0.126736;0.897569;0.020833;0.017361;0.020833;0.951389;0.038194;0.020833;0.045139;0.017361;0.916667;0.104167;0.081597;0.034722;0.975694;0.958333;0.020833;0.815972,0.61439,0,0
2024-04-25 08:00:00+00:00,AVAXUSDT,0.461806;0.298611;0.232639;0.243056;0.774306;0.690972;0.843750;0.916667;0.284722;0.126736;0.435764;0.225694;0.100694;0.256944;0.256944;0.225694;0.197917;0.222222;0.270833;0.218750;0.352431;0.475694;0.381944;0.038194;0.843750;0.072917;0.635417,0.621642,0,0
2024-04-25 08:00:00+00:00,RDNTUSDT,0.545139;0.659722;0.447917;0.371528;0.232639;0.538194;0.201389;0.493056;0.809028;0.126736;0.435764;0.197917;0.295139;0.232639;0.218750;0.524306;0.656250;0.677083;0.468750;0.440972;0.748264;0.475694;0.885417;0.256944;0.458333;0.454861;0.281250,0.647324,0,0
2024-04-25 08:00:00+00:00,MASKUSDT,0.375000;0.250000;0.597222;0.559028;0.673611;0.784722;0.881944;0.916667;0.284722;0.126736;0.435764;0.343750;0.173611;0.215278;0.510417;0.371528;0.260417;0.263889;0.475694;0.614583;0.604167;0.475694;0.215278;0.486111;0.104167;0.236111;0.736111,0.606897,0,0
2024-04-25 08:00:00+00:00,GTCUSDT,0.527778;0.552083;0.725694;0.406250;0.638889;0.857639;0.923611;0.479167;0.815972;0.126736;0.435764;0.458333;0.437500;0.402778;0.517361;0.461806;0.312500;0.229167;0.621528;0.333333;0.352431;0.651042;0.375000;0.496528;0.135417;0.458333;0.722222,0.656357,1,1
2024-04-25 08:00:00+00:00,PONDUSDT,0.704861;0.434028;0.065972;0.145833;0.288194;0.190972;0.760417;0.262153;0.704861;0.822917;0.435764;0.677083;0.690972;0.565972;0.718750;0.194444;0.520833;0.552083;0.239583;0.465278;0.156250;0.125000;0.777778;0.163194;0.909722;0.722222;0.225694,0.6016,0,0
2024-04-25 08:00:00+00:00,UNIUSDT,0.093750;0.840278;0.562500;0.822917;0.857639;0.267361;0.809028;0.677083;0.718750;0.126736;0.435764;0.812500;0.541667;0.288194;0.881944;0.680556;0.618056;0.871528;0.746528;0.885417;0.977431;0.475694;0.923611;0.791667;0.357639;0.684028;0.673611,0.605788,0,0
2024-04-25 08:00:00+00:00,CRVUSDT,0.597222;0.538194;0.357639;0.361111;0.541667;0.517361;0.305556;0.600694;0.690972;0.401042;0.435764;0.086806;0.163194;0.263889;0.052083;0.552083;0.631944;0.604167;0.399306;0.503472;0.748264;0.651042;0.611111;0.218750;0.572917;0.576389;0.284722,0.618036,0,0
2024-04-25 08:00:00+00:00,DYMUSDT,0.468750;0.357639;0.395833;0.500000;0.305556;0.854167;0.343750;0.621528;0.684028;0.378472;0.435764;0.173611;0.204861;0.201389;0.208333;0.211806;0.170139;0.184028;0.430556;0.302083;0.748264;0.756944;0.513889;0.427083;0.531250;0.118056;0.687500,0.619485,0,0
2024-04-25 08:00:00+00:00,SUPERUSDT,0.312500;0.590278;0.125000;0.517361;0.788194;0.312500;0.579861;0.916667;0.284722;0.126736;0.435764;0.579861;0.531250;0.614583;0.531250;0.274306;0.305556;0.295139;0.607639;0.458333;0.604167;0.289931;0.697917;0.711806;0.222222;0.229167;0.684028,0.600844,0,0
2024-04-25 08:00:00+00:00,NEARUSDT,0.083333;0.159722;0.166667;0.815972;0.194444;0.270833;0.635417;0.770833;0.284722;0.336806;0.435764;0.819444;0.868056;0.930556;0.274306;0.104167;0.100694;0.090278;0.149306;0.197917;0.352431;0.376736;0.475694;0.836806;0.184028;0.822917;0.350694,0.613706,0,0
2024-04-25 08:00:00+00:00,INJUSDT,0.145833;0.559028;0.090278;0.173611;0.267361;0.138889;0.097222;0.916667;0.284722;0.126736;0.435764;0.586806;0.409722;0.496528;0.604167;0.111111;0.097222;0.138889;0.663194;0.211806;0.934028;0.651042;0.902778;0.312500;0.600694;0.326389;0.774306,0.615247,0,0
2024-04-25 08:00:00+00:00,MINAUSDT,0.333333;0.656250;0.215278;0.156250;0.690972;0.840278;0.628472;0.440972;0.631944;0.638889;0.435764;0.628472;0.430556;0.562500;0.652778;0.402778;0.440972;0.621528;0.461806;0.149306;0.604167;0.166667;0.760417;0.302083;0.118056;0.590278;0.416667,0.611321,0,0
2024-04-25 08:00:00+00:00,ACEUSDT,0.506944;0.506944;0.628472;0.204861;0.378472;0.232639;0.538194;0.774306;0.284722;0.333333;0.435764;0.281250;0.666667;0.690972;0.118056;0.472222;0.503472;0.458333;0.503472;0.246528;0.604167;0.376736;0.579861;0.027778;0.864583;0.760417;0.701389,0.617705,1,1
2024-04-25 08:00:00+00:00,USDCUSDT,0.907986;0.046875;0.637153;0.954861;0.284722;0.125000;0.347222;0.029514;0.996528;0.126736;0.897569;0.003472;0.003472;0.003472;0.166667;0.347222;0.333333;0.149306;0.006944;0.913194;0.065972;0.475694;0.024306;0.798611;0.006944;0.006944;0.034722,0.356055,0,1
2024-04-25 08:00:00+00:00,METISUSDT,0.583333;0.819444;0.520833;0.458333;0.791667;0.506944;0.822917;0.359375;0.625000;0.732639;0.435764;0.538194;0.611111;0.621528;0.479167;0.493056;0.625000;0.597222;0.562500;0.430556;0.604167;0.166667;0.868056;0.368056;0.041667;0.628472;0.947917,0.612886,0,0
2024-04-25 08:00:00+00:00,EURUSDT,0.907986;0.034722;0.659722;0.968750;0.576389;0.395833;0.326389;0.916667;0.284722;0.126736;0.435764;0.013889;0.013889;0.013889;0.954861;0.010417;0.003472;0.005208;0.020833;0.923611;0.013889;0.475694;0.017361;0.781250;0.854167;0.013889;0.086806,0.617726,0,0
2024-04-25 08:00:00+00:00,BTCUSDT,0.732639;0.125000;0.489583;0.881944;0.750000;0.545139;0.743056;0.430556;0.569444;0.715278;0.435764;0.031250;0.031250;0.031250;0.690972;0.375000;0.364583;0.444444;0.048611;0.843750;0.604167;0.651042;0.104167;0.156250;0.697917;0.027778;0.930556,0.609692,0,0
2024-04-25 08:00:00+00:00,VETUSDT,0.190972;0.239583;0.524306;0.625000;0.475694;0.451389;0.434028;0.916667;0.284722;0.126736;0.435764;0.489583;0.506944;0.340278;0.593750;0.267361;0.236111;0.326389;0.232639;0.628472;0.604167;0.376736;0.211806;0.361111;0.621528;0.409722;0.104167,0.607723,0,0
2024-04-25 08:00:00+00:00,ETHUSDT,0.722222;0.267361;0.208333;0.840278;0.746528;0.357639;0.548611;0.548611;0.572917;0.552083;0.435764;0.034722;0.048611;0.038194;0.524306;0.329861;0.666667;0.746528;0.142361;0.791667;0.604167;0.829861;0.638889;0.034722;0.784722;0.038194;0.777778,0.625429,0,0
